ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode;;;;;
"2014-07-09T13:32:33Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",204759,AT,93.83.228.21,unknown,Thnks fr th Mmrs,Fall Out Boy,Thnks fr th Mmrs,spotify:track:5j99izWPdEP2X4yCbx4a2E,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-10T05:49:18Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",82384,AT,194.118.50.199,unknown,Hail to the King,Avenged Sevenfold,Hail to the King,spotify:track:3kMBEnLhExewYVmOD0wGu0,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-07-16T18:33:37Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",13514,AT,80.121.89.218,unknown,Smokahontas,Attack Attack!,Attack Attack,spotify:track:2fE6TcZ4MP1JJw77R7HIMs,,,,appload,appload,False,1.0,False,0,False";;;;;
"2014-07-16T18:33:47Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",11702,AT,80.121.89.218,unknown,When It Rains,Paramore,Riot!,spotify:track:5MNsy8G3K0Y09QFpktzyrj,,,,appload,endplay,False,1.0,False,0,False";;;;;
2014-07-16T18:35:14Z,resi_maresi,Windows 8 (6.2.9200; x64),30184,AT,80.121.89.218,unknown,Would You Still Be There,Of Mice & Men,Restoring Force,spotify:track:0m5PQFyWWwclSA0T813jnU,,,,appload,endplay,False,1.0,False,0,False;;;;
"2014-07-16T18:36:53Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",90604,AT,80.121.89.218,unknown,Undead,Hollywood Undead,Swan Songs,spotify:track:3XdAzyVBwPctMDkFjKRlO7,,,,appload,fwdbtn,False,1.0,False,0,False";;;;;
"2014-07-18T17:37:31Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",186480,AT,178.191.23.177,unknown,I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,spotify:track:7lRlq939cDG4SzWOF4VAnd,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-21T07:20:19Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",236306,AT,212.197.140.193,unknown,King for a Day (feat. Kellin Quinn),Pierce The Veil,King for a Day (feat. Kellin Quinn),spotify:track:6l5vNeNE1T5knwuKB8K3pl,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-25T17:36:39Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",45495,AT,194.118.13.162,unknown,Do You Want Me (Dead?),All Time Low,Dirty Work,spotify:track:5fA6UPy5Se2hMdIQ1UeoUV,,,,trackdone,appload,False,1.0,False,0,False";;;;;
"2014-07-30T15:38:42Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",80349,AT,62.46.153.145,unknown,Die MF Die,Dope,Life,spotify:track:5bU4KX47KqtDKKaLM4QCzh,,,,appload,endplay,False,1.0,False,0,False";;;;;
