ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode;;;;;
2014-06-20T13:02:59Z,resi_maresi,Windows 8 (6.2.9200; x64),190226,AT,62.46.156.68,unknown,Shirtsleeves,Ed Sheeran,x,spotify:track:7awwmuGslmuyhnlpFipDqk,,,,trackdone,trackdone,False,0.0,False,0,False;;;;
2014-06-20T21:59:34Z,resi_maresi,Windows 8 (6.2.9200; x64),314280,AT,62.46.156.68,unknown,Afire Love,Ed Sheeran,x,spotify:track:12B0Twa9kRz45Xw2PgXHJm,,,,clickrow,trackdone,False,0.0,False,0,False;;;;
2014-06-20T22:03:49Z,resi_maresi,Windows 8 (6.2.9200; x64),228533,AT,62.46.156.68,unknown,Even My Dad Does Sometimes,Ed Sheeran,x,spotify:track:0N5zjRnf8AreOm95iSBXF4,,,,trackdone,trackdone,True,0.0,False,0,False;;;;
2014-06-20T22:08:00Z,resi_maresi,Windows 8 (6.2.9200; x64),250426,AT,62.46.156.68,unknown,The Man,Ed Sheeran,x,spotify:track:1gHF0I223J5pv06SuBcmkz,,,,trackdone,trackdone,True,0.0,False,0,False;;;;
2014-06-20T22:22:18Z,resi_maresi,Windows 8 (6.2.9200; x64),300253,AT,62.46.156.68,unknown,Bloodstream,Ed Sheeran,x,spotify:track:5v4sZRuvWDcisoOk1PFv6T,,,,trackdone,trackdone,True,0.0,False,0,False;;;;
2014-06-20T22:25:58Z,resi_maresi,Windows 8 (6.2.9200; x64),219840,AT,62.46.156.68,unknown,Don't,Ed Sheeran,x,spotify:track:1huvTbEYtgltjQRXzrNKGi,,,,trackdone,trackdone,True,0.0,False,0,False;;;;
2014-06-21T01:47:55Z,resi_maresi,Windows 8 (6.2.9200; x64),58420,AT,62.46.156.68,unknown,Photograph,Ed Sheeran,x,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,,,,trackdone,endplay,True,1.0,False,0,False;;;;
"2014-06-21T07:39:04Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",4040,AT,80.121.94.239,unknown,Sing,Ed Sheeran,x,spotify:track:6K8qKeWo5MsFED7wCR6Kop,,,,fwdbtn,fwdbtn,True,1.0,False,0,False";;;;;
"2014-06-21T07:43:46Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",258588,AT,213.162.68.156,unknown,The A Team,Ed Sheeran,The A Team,spotify:track:3PB8iSyxMHfyENnye0v7Sl,,,,fwdbtn,trackdone,True,0.0,False,0,False";;;;;
"2014-06-26T20:34:18Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",197759,AT,91.114.169.209,unknown,Against Them All,Stick To Your Guns,Diamond,spotify:track:6XlKo5wUHdbG4kb4wiqTVR,,,,trackdone,trackdone,True,0.0,False,0,False";;;;;
"2014-06-28T17:37:45Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",2972,AT,213.240.119.193,unknown,Sing,Ed Sheeran,Sing,spotify:track:6eLrCtqlpjroAkES2EHCx0,,,,appload,fwdbtn,False,1.0,False,0,False";;;;;
"2014-06-28T17:51:57Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",240843,AT,213.240.119.193,unknown,Man On Fire,Bury Tomorrow,Man On Fire,spotify:track:4ghLQsDPW74f8cFMh5wpHD,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
2014-07-01T20:06:02Z,resi_maresi,Windows 8 (6.2.9200; x64),236306,AT,193.83.228.160,unknown,King for a Day (feat. Kellin Quinn),Pierce The Veil,King for a Day (feat. Kellin Quinn),spotify:track:6l5vNeNE1T5knwuKB8K3pl,,,,unknown,trackdone,False,0.0,False,0,False;;;;
2014-07-01T20:21:24Z,resi_maresi,Windows 8 (6.2.9200; x64),210133,AT,193.83.228.160,unknown,Cry,The Used,Cry - Single,spotify:track:0G4URLY35rnaAAHlp1wNOO,,,,trackdone,trackdone,False,0.0,False,0,False;;;;
2014-07-01T20:37:53Z,resi_maresi,Windows 8 (6.2.9200; x64),187880,AT,193.83.228.160,unknown,Situations,Escape the Fate,Dying Is Your Latest Fashion,spotify:track:5vK7di9mZBqB91kodObbn8,,,,fwdbtn,trackdone,False,0.0,False,0,False;;;;
2014-07-01T20:42:55Z,resi_maresi,Windows 8 (6.2.9200; x64),302160,AT,193.83.228.160,unknown,Murder Mitten,I See Stars,New Demons,spotify:track:7xsfPgbNn4cNSGVaNygXEQ,,,,trackdone,trackdone,False,0.0,False,0,False;;;;
"2014-07-08T10:18:28Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",236306,AT,93.83.228.21,unknown,King for a Day (feat. Kellin Quinn),Pierce The Veil,King for a Day (feat. Kellin Quinn),spotify:track:6l5vNeNE1T5knwuKB8K3pl,,,,appload,trackdone,False,0.0,False,0,False";;;;;
"2014-07-08T10:37:37Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",32295,AT,93.83.228.21,unknown,Uneasy Hearts Weigh The Most,Dance Gavin Dance,Dance Gavin Dance,spotify:track:5oC0AAgJ7RoWOT3HznLMe1,,,,fwdbtn,fwdbtn,False,1.0,False,0,False";;;;;
"2014-07-08T10:44:40Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",161920,AT,93.83.228.21,unknown,Teenagers,My Chemical Romance,The Black Parade,spotify:track:7j31rVgGX9Q2blT92VBEA0,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-08T10:53:43Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",311106,AT,93.83.228.21,unknown,Welcome to the Black Parade,My Chemical Romance,Welcome to the Black Parade,spotify:track:6wThHqs4np9cLpcNqJ2zN5,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-08T21:58:08Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",11890,AT,193.81.117.4,unknown,Raised By Wolves,Falling In Reverse,The Drug In Me Is You,spotify:track:3HEEKHUHGK0jXjvuQhZqKs,,,,trackdone,fwdbtn,False,1.0,False,0,False";;;;;
"2014-07-08T22:07:18Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",243226,AT,193.81.117.4,unknown,If It Means a Lot to You,A Day To Remember,Homesick,spotify:track:6J7cSyvSCnPwv3vqHchEfL,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-09T13:28:20Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",186826,AT,93.83.228.21,unknown,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,Save Rock And Roll,spotify:track:2E43WFS4rRc09za2r2GmZl,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-10T05:56:30Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",202640,AT,194.118.50.199,unknown,All I Want,A Day To Remember,What Separates Me From You,spotify:track:3imITUqEhkebNbOoS1yrWm,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-15T09:35:06Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",268480,AT,212.197.137.97,unknown,Caraphernelia,Pierce The Veil,Selfish Machines,spotify:track:2G8PweZBBwTpyP8vpNQJK2,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-15T09:35:31Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",25031,AT,212.197.137.97,unknown,Scene Two - Roger Rabbit,Sleeping With Sirens,""If you were a movie, this would be your soundtrack"",spotify:track:7la8N6YLMUDAXl2iAEe9Sy,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-07-25T17:35:53Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",214346,AT,194.118.13.162,unknown,Stay Awake (Dreams Only Last For A Night),All Time Low,""So Wrong, It's Right"",spotify:track:3fkbPSj577QsYXL48MB9wj,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-26T08:13:54Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",244573,AT,213.162.68.206,unknown,I'm a Mess,Ed Sheeran,x,spotify:track:0xCA70t1ZA4fa9UOE0lIJm,,,,trackdone,trackdone,True,0.0,False,0,False";;;;;
"2014-07-30T11:43:08Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",203313,AT,62.46.153.145,unknown,Thnks fr th Mmrs,Fall Out Boy,Infinity On High,spotify:track:18GC3F8YPGB8CePXcTUizQ,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-30T15:34:28Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",29907,AT,62.46.153.145,unknown,Second Chance,Shinedown,The Sound of Madness,spotify:track:0CwYG1UnRmOx8Q1EzElCIL,,,,appload,endplay,False,1.0,False,0,False";;;;;
"2014-07-30T15:37:23Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",130960,AT,62.46.153.145,unknown,Headstrong,Trapt,Trapt,spotify:track:1AEYT6VxrxXPMoQUxsY0E4,,,,appload,endplay,False,1.0,False,0,False";;;;;
"2014-07-31T12:06:27Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",179304,AT,80.121.12.37,unknown,What Goes Around... (Justin Timberlake cover),Alesana,Punk Goes Pop Volume Two,spotify:track:182ebmnnD7BbcRUC4nEmok,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-07-31T12:18:59Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",177240,AT,80.121.12.37,unknown,It's Complicated,A Day To Remember,What Separates Me From You,spotify:track:069deq5woglvUnWok4MqTe,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-31T15:54:08Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",210160,AT,80.121.12.37,unknown,Sex Life,Destroy Rebuild Until God Shows,D.R.U.G.S.,spotify:track:2O5Ua1RV8nTIrRHuKfS5mG,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-03T12:34:39Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",222720,AT,80.121.8.231,unknown,Last Breath,Attack Attack!,Attack Attack! (Deluxe Reissue),spotify:track:48Vr8gmG0pzzCx1A0W9ai3,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-11T04:32:28Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",297240,AT,212.197.142.17,unknown,Love the Way You Lie,A Skylit Drive,Punk Goes Pop Volume 4,spotify:track:29VdvaUe98VMpbpX5b8PKA,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-11T04:35:41Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",6083,AT,212.197.142.17,unknown,Teenage Dirtbag,Wheatus,""Songs From Dawson's Creek, Vol. II"",spotify:track:3LI4MmibTkXH5cGpCGZgyw,,,,appload,fwdbtn,False,1.0,False,0,False";;;;;
"2014-08-11T04:39:53Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",218786,AT,212.197.142.17,unknown,The Drug In Me Is You,Falling In Reverse,The Drug In Me Is You,spotify:track:6mlTvATQEWjvLHJJkmraiA,,,,appload,trackdone,False,0.0,False,0,False";;;;;
"2014-08-15T10:56:11Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",98533,AT,62.47.213.74,unknown,Giants Among Common Men,Jamie's Elsewhere,They Said A Storm Was Coming,spotify:track:7yvaBWOBY20Wg5RUlaxrX2,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-08-18T04:51:03Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",188813,AT,178.191.21.214,unknown,Have Faith In Me,A Day To Remember,Homesick,spotify:track:5D25Vmd458UZ6n27g76d3l,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-27T09:32:31Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",4692,AT,80.121.15.100,unknown,Makeshift Chemistry,Crown The Empire,The Fallout,spotify:track:0YSZ8vuwoqxS8Eo4jhyZVZ,,,,appload,fwdbtn,False,1.0,False,0,False";;;;;
