ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode;;;;;
2014-06-20T12:39:38Z,resi_maresi,Windows 8 (6.2.9200; x64),250426,AT,62.46.156.68,unknown,The Man,Ed Sheeran,x,spotify:track:1gHF0I223J5pv06SuBcmkz,,,,trackdone,trackdone,False,0.0,False,0,False;;;;
2014-06-20T12:44:20Z,resi_maresi,Windows 8 (6.2.9200; x64),281560,AT,62.46.156.68,unknown,Thinking out Loud,Ed Sheeran,x,spotify:track:34gCuhDGsG4bRPIf9bb02f,,,,trackdone,trackdone,False,0.0,False,0,False;;;;
2014-06-20T14:05:56Z,resi_maresi,Windows 8 (6.2.9200; x64),40213,AT,62.46.156.68,unknown,Opening Titles,David Arnold,Sherlock (Soundtrack from the TV series),spotify:track:3AHtiSNu2dnIKd5EAJPNSy,,,,clickrow,trackdone,False,0.0,False,0,True;;;;
2014-06-20T14:18:50Z,resi_maresi,Windows 8 (6.2.9200; x64),252760,AT,62.46.156.68,unknown,One,Ed Sheeran,x,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,,,,clickrow,trackdone,False,0.0,False,0,False;;;;
2014-06-20T16:23:20Z,resi_maresi,Windows 8 (6.2.9200; x64),36071,AT,62.46.156.68,unknown,One,Ed Sheeran,x,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,,,,backbtn,clickrow,True,1.0,False,0,False;;;;
2014-06-20T22:54:21Z,resi_maresi,Windows 8 (6.2.9200; x64),208400,AT,62.46.156.68,unknown,Take It Back,Ed Sheeran,x,spotify:track:2dmOWlEHrP266Qgz6wnUrd,,,,trackdone,trackdone,True,0.0,False,0,False;;;;
"2014-06-21T08:47:46Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",19921,AT,213.162.68.156,unknown,Give Me Love,Ed Sheeran,+,spotify:track:1NvOOkafczKxO5YXRR01ax,,,,appload,fwdbtn,False,1.0,False,0,False";;;;;
2014-06-22T09:54:19Z,resi_maresi,Windows 8 (6.2.9200; x64),0,AT,80.121.91.165,unknown,Photograph,Ed Sheeran,x,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,,,,appload,fwdbtn,False,1.0,False,0,False;;;;
2014-06-22T09:54:20Z,resi_maresi,Windows 8 (6.2.9200; x64),1486,AT,80.121.91.165,unknown,One,Ed Sheeran,x,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,,,,fwdbtn,fwdbtn,True,1.0,False,0,False;;;;
"2014-06-23T05:12:03Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",1950,AT,213.162.68.198,unknown,Even My Dad Does Sometimes,Ed Sheeran,x,spotify:track:0N5zjRnf8AreOm95iSBXF4,,,,appload,appload,False,1.0,True,0,False";;;;;
"2014-06-28T17:41:34Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",213866,AT,213.240.119.193,unknown,We Still Believe,Stick To Your Guns,Diamond,spotify:track:7GiwUZWGcVuHT8fc8mmG5I,,,,appload,trackdone,False,0.0,False,0,False";;;;;
"2014-07-08T10:36:30Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",169280,AT,93.83.228.21,unknown,Infected,Eyes Set To Kill,Masks,spotify:track:5okSZJfLZL8jaLT0g7yGW5,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-08T10:41:58Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",261680,AT,93.83.228.21,unknown,Life Cycles,The Word Alive,Life Cycles,spotify:track:5uHj2XlrxUQycfxAyETkyR,,,,fwdbtn,trackdone,False,0.0,False,0,False";;;;;
"2014-07-08T22:13:32Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",138576,AT,193.81.117.4,unknown,My Love (Justin Timberlake cover),We Came As Romans,Punk Goes Pop Volume Three,spotify:track:0Xl6DvdDvobq1OVRl6de3I,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-07-09T10:14:43Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",5116,AT,93.83.228.21,unknown,In The End,Black Veil Brides,Wretched and Divine: The Story Of The Wild Ones,spotify:track:1RTYixE1DD3g3upEpmCJpa,,,,fwdbtn,appload,True,1.0,False,0,False";;;;;
"2014-07-09T10:23:05Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",219106,AT,93.83.228.21,unknown,""If I'm James Dean, You're Audrey Hepburn"",Sleeping With Sirens,With Ears To See And Eyes To Hear,spotify:track:1wFRkVclQWfMQQcaVLjmBE,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-09T10:41:26Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",175200,AT,93.83.228.21,unknown,Scotty Doesn't Know,Lustra,Left for Dead,spotify:track:1LkoYGxmYpO6QSEvY5C0Zl,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-09T10:58:42Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",213809,AT,93.83.228.21,unknown,""Sugar, We're Goin Down"",Fall Out Boy,From Under The Cork Tree,spotify:track:4zjFqN9fXAw91GNgJOCYX6,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-07-09T13:25:14Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",168000,AT,93.83.228.21,unknown,All The Small Things,blink-182,Enema Of The State,spotify:track:12qZHAeOyTf93YAWvGDTat,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-09T13:37:42Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",35946,AT,93.83.228.21,unknown,You Make Me Feel (feat. Sabi),Cobra Starship,American Reunion (Original Motion Picture Soundtrack),spotify:track:5NSFhGsvu9YP5tiPIKSxFY,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-07-14T21:27:43Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",11165,AT,212.197.137.97,unknown,Best of You,Foo Fighters,Greatest Hits,spotify:track:1sn6iOK93jnp0Hn5BnNOXy,,,,appload,fwdbtn,False,1.0,False,0,False";;;;;
"2014-07-15T09:30:07Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",234493,AT,212.197.137.97,unknown,Smokahontas,Attack Attack!,Attack Attack,spotify:track:2fE6TcZ4MP1JJw77R7HIMs,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-16T08:09:15Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",243000,AT,178.191.22.54,unknown,""Go to Hell, for Heaven's Sake"",Bring Me The Horizon,Sempiternal,spotify:track:0Koh9yED8UuaXvg9p5lQdB,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-16T08:16:56Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",228040,AT,178.191.22.54,unknown,Princeton Ave,Issues,Black Diamonds,spotify:track:5LuQN7jDy76fnTOVYWm8hE,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-16T08:19:22Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",115728,AT,178.191.22.54,unknown,Bulletproof Love,Pierce The Veil,Selfish Machines,spotify:track:6bGac1gBHs7kUKihrudMzq,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-07-16T18:35:23Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",16334,AT,80.121.89.218,unknown,The Feel Good Drag,Anberlin,Never Take Friendship Personal,spotify:track:5sTVykpRs4eiZKn96bZogj,,,,appload,appload,False,1.0,False,0,False";;;;;
"2014-07-21T07:16:22Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",232958,AT,212.197.140.193,unknown,My Love (Justin Timberlake cover),We Came As Romans,Punk Goes Pop Volume Three,spotify:track:0Xl6DvdDvobq1OVRl6de3I,,,,appload,trackdone,False,0.0,False,0,False";;;;;
"2014-07-25T17:42:30Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",11981,AT,194.118.13.162,unknown,The Fault in Our Stars,Troye Sivan,The Fault in Our Stars,spotify:track:6LteLVcW0oWLjuW6nePyWb,,,,fwdbtn,appload,True,1.0,False,0,False";;;;;
"2014-07-31T11:54:54Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",230156,AT,80.121.12.37,unknown,Not Good Enough For Truth In Cliche',Escape the Fate,Dying Is Your Latest Fashion,spotify:track:7ecWgcVi2ibroI9FDMYGXC,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-31T11:58:52Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",237173,AT,80.121.12.37,unknown,Rebel Love Song,Black Veil Brides,Set The World On Fire,spotify:track:08K1qxat8wWo1WbFmERSyA,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-02T15:14:23Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",93204,AT,88.117.126.187,unknown,Kryptonite,3 Doors Down,The Better Life - Deluxe Edition,spotify:track:3bbUkaQYGQHkx1TJi7gPSL,,,,appload,endplay,False,1.0,False,0,False";;;;;
"2014-08-02T15:20:26Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",119138,AT,88.117.126.187,unknown,Little Lion Man,Tonight Alive,Punk Goes Pop Volume 4,spotify:track:79k4ZDMN06XxO0gDRBfEC2,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-08-03T12:46:24Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",195786,AT,80.121.8.231,unknown,Humannequin,The Color Morale,We All Have Demons,spotify:track:0wdt8BnN8GoAppInL0krVy,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-03T12:50:04Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",219120,AT,80.121.8.231,unknown,Burn Victims,The Color Morale,Know Hope,spotify:track:29iA3STVGMShTnon7B3zSr,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-03T12:57:16Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",223520,AT,80.121.8.231,unknown,We Are The Reasons,We Came As Romans,To Plant A Seed,spotify:track:2aVcyiyY0NZs39zXguas6B,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-03T13:47:41Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",15559,AT,80.121.8.231,unknown,Strange Comfort,The Color Morale,Know Hope,spotify:track:2hv6tP5nZTOgc3LZ3iE4CS,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
"2014-08-11T04:51:05Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",220146,AT,212.197.142.17,unknown,Check Yes Juliet,We The Kings,We the Kings,spotify:track:3EPkxw98W1dCrN5czQw6dM,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-13T04:36:12Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",178013,AT,178.191.17.192,unknown,Monster,Skillet,Awake,spotify:track:5XQNN3cHwYRzPv08CHuQNZ,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-13T06:56:55Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",234493,AT,194.112.182.212,unknown,Smokahontas,Attack Attack!,Attack Attack,spotify:track:2fE6TcZ4MP1JJw77R7HIMs,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-14T04:37:22Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",143617,AT,88.117.122.41,unknown,Closure,Asking Alexandria,Reckless And Relentless,spotify:track:5BODRfhgnHa4I5rDrkxs3x,,,,trackdone,fwdbtn,False,1.0,False,0,False";;;;;
"2014-08-14T05:05:27Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",0,AT,213.162.68.140,unknown,Johnny Ringo,Crown The Empire,Limitless,spotify:track:5uxHTiFxxUO9l3KSdz44tP,,,,fwdbtn,fwdbtn,False,1.0,False,0,False";;;;;
"2014-08-18T12:01:03Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",228066,AT,91.115.107.1,unknown,Diamonds Aren't Forever,Bring Me The Horizon,Suicide Season Cut Up!,spotify:track:5fSgXNTAh3ImNGfh9jsE9N,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-08-18T12:05:18Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",201030,AT,91.115.107.1,unknown,You're Not Alone,Of Mice & Men,You're Not Alone,spotify:track:0RtSOgsaitOmRt3mBoqBuq,,,,fwdbtn,trackdone,False,0.0,False,0,False";;;;;
"2014-08-27T07:50:43Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",242066,AT,80.121.15.100,unknown,The Sinner,Memphis May Fire,The Hollow,spotify:track:4SAeLRKTvdvEKUvpYIoBzT,,,,fwdbtn,trackdone,False,0.0,False,0,False";;;;;
"2014-08-28T17:33:50Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",229120,AT,62.46.154.65,unknown,SECOND & SEBRING,Of Mice & Men,Of Mice & Men,spotify:track:3bdqdxoWXP3z0KuDt0o4Cn,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
