ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode;;;;;
2014-06-20T12:19:17Z,resi_maresi,Windows 8 (6.2.9200; x64),78941,AT,62.46.156.68,unknown,Sing,Ed Sheeran,x,spotify:track:6K8qKeWo5MsFED7wCR6Kop,,,,trackdone,clickrow,False,1.0,False,0,False;;;;
2014-06-20T12:23:21Z,resi_maresi,Windows 8 (6.2.9200; x64),225533,AT,62.46.156.68,unknown,Nina,Ed Sheeran,x,spotify:track:3GKSfF6c3Rv3a1knSjxnXa,,,,clickrow,trackdone,False,0.0,False,0,False;;;;
2014-06-20T12:27:41Z,resi_maresi,Windows 8 (6.2.9200; x64),258986,AT,62.46.156.68,unknown,Photograph,Ed Sheeran,x,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,,,,trackdone,trackdone,False,0.0,False,0,False;;;;
2014-06-20T14:04:37Z,resi_maresi,Windows 8 (6.2.9200; x64),199453,AT,62.46.156.68,unknown,Simple As This,Jake Bugg,Jake Bugg,spotify:track:1P3MXWakqsC00kSgjQdUcB,,,,clickrow,trackdone,False,0.0,False,0,True;;;;
2014-06-20T14:05:16Z,resi_maresi,Windows 8 (6.2.9200; x64),29291,AT,62.46.156.68,unknown,Let Me In - From The Fault in Our Stars Soundtrack,Grouplove,Das Schicksal ist ein mieser Verräter: Music From The Motion Picture,spotify:track:51ZliQm4T0hArHwwYEo5uX,,,,trackdone,endplay,False,1.0,False,0,True;;;;
2014-06-20T15:31:45Z,resi_maresi,Windows 8 (6.2.9200; x64),235382,AT,62.46.156.68,unknown,Sing,Ed Sheeran,x,spotify:track:6K8qKeWo5MsFED7wCR6Kop,,,,trackdone,trackdone,False,0.0,False,0,False;;;;
2014-06-20T16:21:50Z,resi_maresi,Windows 8 (6.2.9200; x64),1439,AT,62.46.156.68,unknown,I'm a Mess,Ed Sheeran,x,spotify:track:0xCA70t1ZA4fa9UOE0lIJm,,,,fwdbtn,fwdbtn,False,1.0,False,0,False;;;;
2014-06-20T16:22:41Z,resi_maresi,Windows 8 (6.2.9200; x64),3854,AT,62.46.156.68,unknown,One,Ed Sheeran,x,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,,,,fwdbtn,fwdbtn,False,1.0,False,0,False;;;;
2014-06-20T21:53:38Z,resi_maresi,Windows 8 (6.2.9200; x64),281560,AT,62.46.156.68,unknown,Thinking out Loud,Ed Sheeran,x,spotify:track:34gCuhDGsG4bRPIf9bb02f,,,,trackdone,trackdone,True,0.0,False,0,False;;;;
"2014-06-21T08:48:19Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",22110,AT,213.162.68.156,unknown,Thinking out Loud,Ed Sheeran,x,spotify:track:34gCuhDGsG4bRPIf9bb02f,,,,fwdbtn,endplay,True,1.0,False,0,False";;;;;
2014-06-22T09:55:43Z,resi_maresi,Windows 8 (6.2.9200; x64),3715,AT,80.121.91.165,unknown,Can't Remember to Forget You,Shakira,Can't Remember to Forget You,spotify:track:0BBj0SW3vef8UNzTg4lwH9,,,,clickrow,fwdbtn,False,1.0,False,0,False;;;;
"2014-06-23T19:20:26Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",99242,AT,91.114.169.116,unknown,I'm a Mess,Ed Sheeran,x,spotify:track:0xCA70t1ZA4fa9UOE0lIJm,,,,trackdone,fwdbtn,True,1.0,False,0,False";;;;;
"2014-06-27T04:44:48Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",16732,AT,91.114.169.209,unknown,The State of Massachusetts,Dropkick Murphys,The Meanest of Times,spotify:track:2XjUCQdBm6AzlDSLCKj7V6,,,,appload,fwdbtn,False,1.0,False,0,False";;;;;
"2014-06-28T18:05:57Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",22569,AT,213.240.119.193,unknown,The Saw Is the Law,Whitechapel,Our Endless War,spotify:track:5Q26orL8VKcXY6dN4u74Xt,,,,trackdone,endplay,False,1.0,False,0,False";;;;;
2014-07-01T20:47:19Z,resi_maresi,Windows 8 (6.2.9200; x64),237479,AT,193.83.228.160,unknown,,,,,,,,trackdone,trackdone,False,0.0,False,0,False;;;;
"2014-07-05T07:23:27Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",41285,AT,193.83.4.116,unknown,Transexual Lesbian,Demented Are Go,I Wanna See You Blood,spotify:track:0dLocTGY9Sh01imeQdYgPD,,,,appload,fwdbtn,False,1.0,False,0,False";;;;;
"2014-07-08T10:26:06Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",228360,AT,93.83.228.21,unknown,Can You Feel My Heart,Bring Me The Horizon,Can You Feel My Heart,spotify:track:16pVm6CEelmu8uUlXEyq0s,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
