ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode;;;;;
2014-06-20T12:17:58Z,resi_maresi,Windows 8 (6.2.9200; x64),244573,AT,62.46.156.68,unknown,I'm a Mess,Ed Sheeran,x,spotify:track:0xCA70t1ZA4fa9UOE0lIJm,,,,trackdone,trackdone,False,0.0,False,0,False;;;;
2014-06-20T15:50:01Z,resi_maresi,Windows 8 (6.2.9200; x64),98144,AT,62.46.156.68,unknown,Hell Above,Pierce The Veil,Collide With The Sky,spotify:track:6acg7alJHidbiANf22ZylO,,,,fwdbtn,clickrow,False,1.0,False,0,False;;;;
2014-06-20T15:53:18Z,resi_maresi,Windows 8 (6.2.9200; x64),198000,AT,62.46.156.68,unknown,Weightless,All Time Low,Nothing Personal,spotify:track:2soeSOXg6lO7NA1crYT78x,,,,clickrow,trackdone,False,0.0,False,0,False;;;;
2014-06-20T16:21:49Z,resi_maresi,Windows 8 (6.2.9200; x64),54052,AT,62.46.156.68,unknown,One,Ed Sheeran,x,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,,,,clickrow,fwdbtn,False,1.0,False,0,False;;;;
2014-06-20T22:39:08Z,resi_maresi,Windows 8 (6.2.9200; x64),299146,AT,62.46.156.68,unknown,I See Fire,Ed Sheeran,x,spotify:track:5pY3ovFxbvAg7reGZjJQSp,,,,trackdone,trackdone,True,0.0,False,0,False;;;;
2014-06-20T22:42:54Z,resi_maresi,Windows 8 (6.2.9200; x64),225533,AT,62.46.156.68,unknown,Nina,Ed Sheeran,x,spotify:track:3GKSfF6c3Rv3a1knSjxnXa,,,,trackdone,trackdone,True,0.0,False,0,False;;;;
"2014-06-21T07:39:01Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",4133,AT,80.121.94.239,unknown,Don't,Ed Sheeran,x,spotify:track:1huvTbEYtgltjQRXzrNKGi,,,,fwdbtn,fwdbtn,True,1.0,False,0,False";;;;;
"2014-06-21T07:39:06Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",3065,AT,80.121.94.239,unknown,Even My Dad Does Sometimes,Ed Sheeran,x,spotify:track:0N5zjRnf8AreOm95iSBXF4,,,,fwdbtn,fwdbtn,True,1.0,False,0,False";;;;;
"2014-06-21T08:47:50Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",1904,AT,213.162.68.156,unknown,Bloodstream,Ed Sheeran,x,spotify:track:5v4sZRuvWDcisoOk1PFv6T,,,,fwdbtn,fwdbtn,True,1.0,False,0,False";;;;;
2014-06-22T09:56:19Z,resi_maresi,Windows 8 (6.2.9200; x64),36281,AT,80.121.91.165,unknown,Sing,Ed Sheeran,Sing,spotify:track:6eLrCtqlpjroAkES2EHCx0,,,,fwdbtn,endplay,True,1.0,False,0,False;;;;
"2014-06-23T05:21:55Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",222307,AT,213.162.68.198,unknown,Even My Dad Does Sometimes,Ed Sheeran,x,spotify:track:0N5zjRnf8AreOm95iSBXF4,,,,appload,endplay,False,1.0,True,0,False";;;;;
"2014-06-26T12:46:38Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",3808,AT,212.95.7.198,unknown,Shirtsleeves,Ed Sheeran,x,spotify:track:7awwmuGslmuyhnlpFipDqk,,,,fwdbtn,fwdbtn,True,1.0,False,0,False";;;;;
2014-06-27T17:10:25Z,resi_maresi,Windows 8 (6.2.9200; x64),100028,AT,91.114.174.57,unknown,We Still Believe,Stick To Your Guns,Diamond,spotify:track:7GiwUZWGcVuHT8fc8mmG5I,,,,trackdone,endplay,False,1.0,False,0,False;;;;
2014-06-28T14:38:14Z,resi_maresi,Windows 8 (6.2.9200; x64),114892,AT,213.240.119.193,unknown,We Still Believe,Stick To Your Guns,Diamond,spotify:track:7GiwUZWGcVuHT8fc8mmG5I,,,,appload,endplay,False,0.0,False,0,False;;;;
"2014-06-28T17:44:47Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",192573,AT,213.240.119.193,unknown,You Only Live Once,Suicide Silence,The Black Crown,spotify:track:0hKgL9gXysvUCRYf2GLDUM,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
"2014-07-02T11:15:50Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",211440,AT,212.95.7.188,unknown,Even My Dad Does Sometimes,Ed Sheeran,x,spotify:track:0N5zjRnf8AreOm95iSBXF4,,,,fwdbtn,endplay,True,1.0,False,0,False";;;;;
"2014-07-08T10:48:31Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",230093,AT,93.83.228.21,unknown,Sleepwalking,Bring Me The Horizon,Sempiternal,spotify:track:0gchQwxmBWj5no8NJ8b2yH,,,,trackdone,trackdone,False,0.0,False,0,False";;;;;
