ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode;;;;
"2014-07-09T13:16:57Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",182787,AT,93.83.228.21,unknown,""Dear Maria, Count Me In"",All Time Low,""So Wrong, It's Right"",spotify:track:0RmmNCmSvTAJo1P6bIGjqr,,,,appload,trackdone,False,0.0,False,0,False";;;;
"2014-07-15T09:18:32Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",12995,AT,212.197.137.97,unknown,""Baby, You Wouldn't Last A Minute On The Creek"",Chiodos,All's Well That Ends Well,spotify:track:6p4jnIWFWyLz0zUo2RD9iu,,,,appload,endplay,False,1.0,False,0,False";;;;
"2014-07-16T08:05:12Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",222040,AT,178.191.22.54,unknown,Bite My Tongue,You Me At Six,Sinners Never Sleep,spotify:track:1FIWe0EWWE6D8soz2ZsMuM,,,,trackdone,trackdone,False,0.0,False,0,False";;;;
"2014-07-16T08:24:11Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",152090,AT,178.191.22.54,unknown,Stay Away from My Friends,Pierce The Veil,Selfish Machines,spotify:track:3vvBMjyD7ZesKHe1k00gxO,,,,trackdone,endplay,False,1.0,False,0,False";;;;
"2014-07-16T18:40:44Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",229093,AT,80.121.89.218,unknown,""Sugar, We're Goin Down"",Fall Out Boy,From Under The Cork Tree,spotify:track:4zjFqN9fXAw91GNgJOCYX6,,,,fwdbtn,trackdone,True,0.0,False,0,False";;;;
"2014-07-18T17:34:24Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",256053,AT,178.191.23.177,unknown,Scene One - James Dean & Audrey Hepburn,Sleeping With Sirens,""If you were a movie, this would be your soundtrack"",spotify:track:2Xt2ir0hgXtcfFlAx4rdu9,,,,appload,trackdone,False,0.0,False,0,False";;;;
2014-07-21T08:58:00Z,resi_maresi,Windows 8 (6.2.9200; x64),34504,AT,212.197.140.193,unknown,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,spotify:track:5BB0Jzw60KyfSTyjJqtely,,,,trackdone,fwdbtn,False,1.0,False,0,False;;;
2014-07-21T09:01:51Z,resi_maresi,Windows 8 (6.2.9200;" x64),230426,AT,212.197.140.193,unknown,""Save Yourself, I'll Hold Them Back"",My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,spotify:track:3CX5UKLQ9zqorQDx00Sbgt,,,,fwdbtn,trackdone,False,0.0,False,0,False";;;
"2014-07-30T11:35:41Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",0,AT,62.46.153.145,unknown,Lego House - Acoustic,Ed Sheeran,Lego House,spotify:track:42hBPeG4ZjycDpcotmdKoh,,,,fwdbtn,endplay,True,1.0,False,0,False";;;;
"2014-07-30T11:54:37Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",196626,AT,62.46.153.145,unknown,The Bomb Dot Com V2.0,Sleeping With Sirens,With Ears To See And Eyes To Hear,spotify:track:5M9kio8FEFiNKyTDGqksy2,,,,trackdone,endplay,False,1.0,False,0,False";;;;
