ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode;;;;
"2014-06-21T07:38:55Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",11238,AT,80.121.94.239,unknown,I See Fire,Ed Sheeran,x,spotify:track:5pY3ovFxbvAg7reGZjJQSp,,,,trackdone,fwdbtn,True,1.0,False,0,False";;;;
"2014-06-21T07:38:58Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",2089,AT,80.121.94.239,unknown,Masters of War,Ed Sheeran,""ONE Presents agit8, Vol. 2"",spotify:track:3mG141VHv0qe0bDxa25Kg3,,,,fwdbtn,fwdbtn,True,1.0,False,0,False";;;;
2014-06-22T09:54:22Z,resi_maresi,Windows 8 (6.2.9200; x64),0,AT,80.121.91.165,unknown,I See Fire,Ed Sheeran,x,spotify:track:5pY3ovFxbvAg7reGZjJQSp,,,,fwdbtn,fwdbtn,True,1.0,False,0,False;;;
"2014-06-23T19:41:13Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",219567,AT,91.114.169.116,unknown,Bloodstream,Ed Sheeran,x,spotify:track:5v4sZRuvWDcisoOk1PFv6T,,,,trackdone,endplay,True,1.0,False,0,False";;;;
2014-06-26T14:54:27Z,resi_maresi,Windows 8 (6.2.9200; x64),223546,AT,91.114.169.209,unknown,Hell Above,Pierce The Veil,Collide With The Sky,spotify:track:6acg7alJHidbiANf22ZylO,,,,trackdone,trackdone,True,0.0,False,0,False;;;
"2014-06-26T20:22:22Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",144800,AT,91.114.169.209,unknown,Diamond,Stick To Your Guns,Diamond,spotify:track:2ZNcj5uIxinNTzAuTVvhXV,,,,appload,trackdone,False,0.0,False,0,False";;;;
"2014-06-26T20:27:36Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",156626,AT,91.114.169.209,unknown,The Bond,Stick To Your Guns,Diamond: Decade Edition,spotify:track:4dddrwlvve1x3L1ZHFdtCf,,,,trackdone,trackdone,True,0.0,False,0,False";;;;
"2014-07-05T07:24:02Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",8591,AT,193.83.4.116,unknown,You Don't Believe Me,Stray Cats,The Very Best Of,spotify:track:4yokfbqjsHfPNhSReZs3i2,,,,appload,fwdbtn,False,1.0,False,0,False";;;;
"2014-07-05T07:24:40Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",35406,AT,193.83.4.116,unknown,Baby Blue Eyes,Stray Cats,Rock This Town - The Collection,spotify:track:3rde3PMYmkrEmI1eTUxbdF,,,,fwdbtn,endplay,True,1.0,False,0,False";;;;
"2014-07-08T21:57:56Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",12260,AT,193.81.117.4,unknown,Miles Away - feat. Kellin Quinn,Memphis May Fire,Challenger,spotify:track:0xAA90OfUjpnxCw4Rf162Q,,,,trackdone,endplay,False,1.0,False,0,False";;;;
"2014-07-08T21:59:04Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",0,AT,193.81.117.4,unknown,The Answer,Memphis May Fire,Unconditional,spotify:track:4R2w39ZWtX5qLXwT3f5e40,,,,fwdbtn,fwdbtn,True,1.0,False,0,False";;;;
"2014-07-08T21:59:21Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",16189,AT,193.81.117.4,unknown,Vices,Memphis May Fire,Challenger,spotify:track:1Ny4Sr987Cs8vbhPMyXnUp,,,,fwdbtn,appload,True,1.0,False,0,False";;;;
