endTime,artistName,trackName,msPlayed
2022-12-02 15:09,State Champs,Everybody but You,227393
2022-12-02 15:15,YUNGBLUD,ice cream man,192533
2022-12-02 15:17,The Wonder Years,"There, There",146616
2022-12-02 15:17,Ed Sheeran,Runaway,4883
2022-12-02 15:18,Troye Sivan,LOST BOY,1107
2022-12-02 15:18,Zolita,Holy,38861
2022-12-02 15:18,The Greatest Bits,Mallard's Tomb,1249
2022-12-02 15:18,Chase Petra,Laws of Physics,1775
2022-12-02 15:18,The Wombats,Party in a Forest (Where's Laura?),23
2022-12-02 15:18,All Time Low,Sick Little Games,2615
2022-12-02 15:18,Neck Deep,What Took You So Long?,945
2022-12-02 15:18,Cavetown,Hug All Ur Friends,1818
2022-12-02 15:18,Aaron West and The Roaring Twenties,You Ain't No Saint,7938
2022-12-02 15:18,ROAM,While The World Keeps Spinning,1273
2022-12-02 15:18,MARINA,Hermit the Frog,957
2022-12-02 15:19,Boston Manor,Fossa,1733
2022-12-02 15:19,Herman's Hermits,No Milk Today,3071
2022-12-02 15:19,Tiny Moving Parts,Warm Hand Splash,23
2022-12-02 15:19,BØRNS,Electric Love,1294
2022-12-02 15:19,Citizen,Yellow Love,459
2022-12-02 15:19,Real Friends,Scared To Be Alone,1038
2022-12-02 15:19,All Time Low,Get Down On Your Knees And Tell Me You Love Me,566
2022-12-02 15:19,Cavetown,Juliet,23
2022-12-02 15:19,Tigers Jaw,Heat,1247
2022-12-02 15:19,Cistem Failure,I Wander,4505
2022-12-02 15:19,Modern Baseball,Revenge Of The Nameless Ranger,23
2022-12-02 15:19,All Time Low,Vegas,476
2022-12-02 15:31,SYML,Where's My Love,132865
2022-12-02 15:38,Billie Eilish,Happier Than Ever,298899
2022-12-02 15:38,Stand Atlantic,pity party (feat. Royal & the Serpent),21215
2022-12-02 15:41,AES DANA,Chrysalis - Ethereal Version,136526
2022-12-02 15:52,Mellow Sonic,Gargantua,466677
2022-12-02 16:03,Tilt,The World Doesn't Know - Original Mix,614560
2022-12-02 16:09,The Future Sound Of London,Expander,340000
2022-12-02 16:12,The Thrillseekers,Synaesthesia - Alaska Sunset Mix,177228
2022-12-02 16:54,The Thrillseekers,Synaesthesia - Alaska Sunset Mix,199025
2022-12-02 16:58,Direct,I'll Go,261253
2022-12-02 17:05,H.U.V.A. Network,Something Heavens,403899
2022-12-02 17:12,nervous_testpilot,Music for Code,385075
2022-12-02 17:16,Information Society,A Knife and a Fork/R.I.P.,201373
2022-12-02 17:36,Sefryn,Stranded,3984
2022-12-03 17:14,Neck Deep,What Took You So Long?,213269
2022-12-03 17:16,Football Club,You Are Everything And I Am Nothing... (bonus),141182
2022-12-04 14:16,Winnetka Bowling League,CVS,68390
2022-12-04 14:26,Billie Eilish,Happier Than Ever,562701
2022-12-04 14:31,Will Connolly,Cecily Smith (Bonus Track),289893
2022-12-04 14:36,Elvis Presley,Can't Help Falling In Love,34856
2022-12-04 14:37,Elton John,Your Song,6653
2022-12-04 14:41,Greer,Aeroplane,229218
2022-12-04 14:49,Loathe,Is It Really You?,287627
2022-12-04 14:51,Jeff Buckley,"Lover, You Should've Come Over",116542
2022-12-04 15:02,AES DANA,Chrysalis - Ethereal Version,409686
2022-12-04 15:08,nervous_testpilot,Office,373625
2022-12-04 15:32,Tapage,Two of Seven,243229
2022-12-05 07:26,AS IT IS,Austen,865
2022-12-05 07:26,Basement,Bad Apple,1133
2022-12-05 07:26,Cistem Failure,You Should Be Terrified,1115
2022-12-05 07:26,Real Friends,"Well, I’m Sorry",1342
2022-12-05 07:26,Tigers Jaw,Warn Me,873
2022-12-05 07:26,Hayley Kiyoko,Ease My Mind,619
2022-12-05 07:26,YUNGBLUD,love song,1005
2022-12-05 07:26,Tapage,Two of Seven,3337
2022-12-05 07:26,The Wombats,Backfire at the Disco,1613
2022-12-05 07:28,Modern Baseball,Mass,104598
2022-12-05 07:30,Real Friends,…And We're Just Changing,64783
2022-12-05 07:30,Modern Baseball,Tears Over Beers,10328
2022-12-05 07:32,Modern Baseball,Your Graduation,163760
2022-12-05 07:34,Modern Baseball,Breathing In Stereo,103305
2022-12-05 07:39,Spanish Love Songs,It's Not Interesting,278192
2022-12-05 07:42,Just Friends,Welcome Mats,189117
2022-12-05 07:45,"Slaughter Beach, Dog",One Down,192582
2022-12-05 07:50,"Slaughter Beach, Dog",Black Oak,186111
2022-12-05 14:07,"Slaughter Beach, Dog",Black Oak,216449
2022-12-05 14:13,The Wonder Years,Cigarettes & Saints,302575
2022-12-05 14:14,Football Club,You Are Everything And I Am Nothing... (bonus),103472
2022-12-05 14:19,Brave Bird,Rekindle,278619
2022-12-05 14:23,The Front Bottoms,12 Feet Deep,225253
2022-12-05 14:27,The Menzingers,Tellin' Lies,239741
2022-12-05 14:37,The Menzingers,Lookers,217181
2022-12-05 14:56,Free Throw,"Good Job, Champ",45557
2022-12-05 17:13,Elton John,Your Song,8640
2022-12-05 17:17,God Is An Astronaut,Endless Dream,234333
2022-12-05 17:19,Joel Nielsen,Forget About Freeman,150000
2022-12-05 17:24,nervous_testpilot,Gridlocked,281824
2022-12-05 17:29,Kodomo,Red Giant,295049
2022-12-05 17:34,Keeno,Seek & Expand,330890
2022-12-05 17:41,Mellow Sonic,Colibri - Original Mix,404369
2022-12-05 17:45,nervous_testpilot,Why You Got to Be,230400
2022-12-05 17:52,Mellow Sonic,Geostationary Orbit,410479
2022-12-05 17:58,AES DANA,Submorphing,357979
2022-12-05 18:03,nervous_testpilot,Triumph,295947
2022-12-05 18:11,Hallman,Honesty,157125
2022-12-05 18:19,deadmau5,nosedive,520000
2022-12-05 18:25,Aphex Twin,Tha,330451
2022-12-05 18:26,nervous_testpilot,Deeper,57760
2022-12-05 18:33,Carbon Based Lifeforms,MOS 6581,400746
